Date,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BHARTIARTL.NS,INFRATEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,HPCL.NS,ICICIBANK.NS,IBULHSGFIN.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TECHM.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS,YESBANK.NS,ZEEL.NS
2000-02-04,,,,8.873766,1.585681,,,,,,0.482389,58.522316,,316.115112,44.827538,14.0509,,,26.818838,,18.402523,144.59303300000005,2.467943,,,,49.764946,2.920074,0.000792,,,,6.804678,,,0.116625,,22.489738,1.1456879999999998,2.329141,,11.090207,0.129677,38.459373,,,,5.2e-05,99.604729,,
2000-02-07,,,,8.67568,1.500734,,,,,,0.479202,58.746067,,291.143555,42.607307,13.792654,,,28.89805,,18.158415,142.263977,2.29942,,,,53.541161,2.876464,0.000851,,,,6.759917,,,0.119044,,22.453796,1.107633,2.3185740000000004,,11.018928,0.132165,38.157455,,,,5.1e-05,101.190956,,
2000-02-08,,,,8.770686999999999,1.461092,,,,,,0.4602100000000001,58.017036,,296.233459,40.422321,13.370073,,,29.372456,,17.172005,142.140732,2.311413,,,,56.07458100000001,2.7462020000000003,0.000869,,,,7.301127,,,0.11536,,22.375387,1.084799,2.439175,,11.192466,0.135595,38.73391,,,,4.9e-05,93.665771,,
2000-02-09,,,,8.721532,1.391246,,,,,,0.495267,58.618549,,301.633331,38.942158,13.792654,,,29.577444,,17.89992,148.989182,2.306362,,,,54.887028,2.83795,0.000939,,,,7.071949000000001,,,0.116982,,22.898201,1.0986790000000002,2.354103,,11.381495,0.135853,39.639812,,,,4.9e-05,100.235809,,
2000-02-10,,,,8.693657,1.500734,,,,,,0.455659,57.629662,,302.690277,39.858448,14.438271,,,29.489592,,18.436779,143.628754,2.317093,,,,58.033085,2.79491,0.001014,,,,7.63388,,,0.1136,,23.247808,1.113901,2.3385130000000003,,11.223448,0.13653900000000002,38.939804,,,,4.8e-05,108.255447,,
2000-02-11,,,,8.488235000000001,1.566804,,,,,,0.42626,56.092201,,301.473755,38.765957,14.156545,,,27.18782,,19.20887,146.426041,2.237563,,,,62.676025,2.7292110000000003,0.0010949999999999998,,,,8.244598,,,0.10527,,23.741167,1.119723,2.285929,,10.520046,0.135595,38.486847,,,,4.7e-05,116.915794,,
2000-02-14,,,,7.849966,1.442215,,,,,,0.457934,55.457001,,290.727783,36.93338,13.417024,,,27.345961,,19.034349,141.731033,2.089235,,,,67.690224,2.593859,0.001062,,,,8.737039,,,0.10417,,23.009281,1.1935950000000002,2.304194,,9.779456,0.133708,36.96331,,,,4.5e-05,126.269997,,
2000-02-15,,,,7.457103,1.353492,,,,,,0.433025,55.425728,,288.315186,34.60743,13.581364,,,26.660704,,18.515192000000006,141.83577,2.061462,,,,62.776859,2.574036,0.001146,,,,8.038126,,,0.097819,,22.502832,1.136734,2.214436,,10.275263,0.129849,36.167183,,,,4.5e-05,136.371521,,
2000-02-16,,,,7.468475,1.44599,,,,,,0.429318,56.04889300000001,,294.3663640000001,32.070023,13.651793,,,28.798473,,18.451134,142.39338700000005,2.03558,,,,63.256401,2.58423,0.001136,,,,7.395345,,,0.10241,,22.751144,1.119272,2.234487,,10.216372,0.139026,37.155472,,,,4.6e-05,147.281143,,
2000-02-17,,,,8.066023,1.415786,,,,,,0.426326,60.52895,,317.919159,32.774849,14.743467,,,29.331457,,18.216965,143.379227,1.9989740000000005,,,,64.89768199999999,2.611414,0.001173,,,,7.075296000000002,,,0.102631,,23.169399,1.119272,2.413284,,10.309352,0.143314,37.292717,,,,4.5e-05,159.064346,,
